id,name,price,category,type,size,available
50b18eb3-d3e5-452d-b6f8-6316ff3ae368,"Штраффе Хендрик Квадрупель / Straffe Hendrik Quadrupel (0,33 л.)",465,Пиво бутылочное,Бельгия,,True
a8b74944-53e7-4755-b2a2-e15d053e745b,"Штраффе Хендрик Трипл Уайлд/Straffe Hendrik Brugs Tripel Bier Wild (0,33)",499,Пиво бутылочное,Бельгия,,True
165df350-6e73-4532-aa04-4e741d9804e5,"Энгель Бок Хель/ Engel Bock Hell (0,5 л.)",380,Пиво бутылочное,Германия,,True
fcc6e2fb-0d27-4e6b-9c83-80315dc8ec97,"Энгель Голд/ Engel Gold (0,5 л.)",350,Пиво бутылочное,Германия,,True
a86ab305-afe3-41ed-a5b3-12334a3c7c1d,"Энгель Келлербир Хель / Engel Kellerbier Hell (0,5 л.)",360,Пиво бутылочное,Германия,,True
922fc3d1-85c4-4f73-ab68-d54dfe07b64e,"Энгель Премиум Пилс/ Engel Engel Premium Pilsl (0,5 л.)",350,Пиво бутылочное,Германия,,True
96c0dfc9-75a2-4813-9583-e0d9d5fe0827,"О`Хара`с Айриш Лагер / O’Hara’s Irish Lager (0,5 л.)",495,Пиво бутылочное,Ирландия,,True
b1a89db1-762c-4d73-bd78-4b86a48e6acf,"О`Хара`с Айриш Ред Нитро / O'Hara's Irish Red Nitro ж/б (0,44 л.)",380,Пиво бутылочное,Ирландия,,True
5c3529ff-5c8f-492e-9623-c067c74c9643,"О`Хара`с Айриш Ред Эль / O'Hara's Irish Red (0,5 л.)",495,Пиво бутылочное,Ирландия,,True
3eb6f2f5-5b5b-4334-bd57-c57d84a9205a,"О`Хара`с Айриш Стаут / Carlow O'Hara's Irish Stout (0,5 л.)",495,Пиво бутылочное,Ирландия,,True
e7b09eda-0051-4769-bf10-258f1fcf0917,"О`Хара`с Дабл ИПА / O'Hara`s Double IPA (0,5 л.)",570,Пиво бутылочное,Ирландия,,True
93474583-8d25-4512-87b3-3f11d9ad0fe9,"Айингер Лагер Хель / Ayinger Lager Hell (0,5 л.)",360,Пиво бутылочное,Германия,,True
d4f6483a-4181-49ed-a414-48201e2d8e59,"Айингер Бройвайссе / Ayinger Brauweisse (0,5 л.)",360,Пиво бутылочное,Германия,,True
6c846580-edcc-4357-81b6-866c6ed52032,Дюшес,250,Разливное без-алк,,0.5л,False
6c846580-edcc-4357-81b6-866c6ed52032,Дюшес,360,Разливное без-алк,,1л,False
6c846580-edcc-4357-81b6-866c6ed52032,Дюшес,150,Разливное без-алк,,0.33л,False
bef72c0a-40a1-42b9-92f5-c91bdb0d67a4,Штраффе Хендрик,490,Пиво разливное,Эль темный,0.33л,True
bef72c0a-40a1-42b9-92f5-c91bdb0d67a4,Штраффе Хендрик,790,Пиво разливное,Эль темный,0.5л,True
bef72c0a-40a1-42b9-92f5-c91bdb0d67a4,Штраффе Хендрик,1200,Пиво разливное,Эль темный,1л,True
dfcb1165-5351-452d-83af-32b93aec355f,Селтик Марчес,570,Пиво разливное,Сидр,0.5л,True
dfcb1165-5351-452d-83af-32b93aec355f,Селтик Марчес,770,Пиво разливное,Сидр,1л,True
dfcb1165-5351-452d-83af-32b93aec355f,Селтик Марчес,370,Пиво разливное,Сидр,0.33л,True
ad856a99-8f98-47da-b491-5efc46f0e5ac,Блэк Шип Стаут,690,Пиво разливное,,1л,True
ad856a99-8f98-47da-b491-5efc46f0e5ac,Блэк Шип Стаут,520,Пиво разливное,,0.5л,True
ad856a99-8f98-47da-b491-5efc46f0e5ac,Блэк Шип Стаут,370,Пиво разливное,,0.33л,True
e99ea22d-5f08-4021-af0a-4b93d8cac60d,Крик бун,790,Пиво разливное,Эль красный,1л,True
e99ea22d-5f08-4021-af0a-4b93d8cac60d,Крик бун,550,Пиво разливное,Эль красный,0.5л,True
e99ea22d-5f08-4021-af0a-4b93d8cac60d,Крик бун,350,Пиво разливное,Эль красный,0.33л,True
06782d5b-f6e8-4197-b966-1660a49a2396,Литовел пилзнер,365,Пиво разливное,Светлое фильтр,0.5л,True
06782d5b-f6e8-4197-b966-1660a49a2396,Литовел пилзнер,230,Пиво разливное,Светлое фильтр,0.33л,True
06782d5b-f6e8-4197-b966-1660a49a2396,Литовел пилзнер,480,Пиво разливное,Светлое фильтр,1л,True
7442ffc4-02c3-48fe-a1c7-cbb8db0026e7,Говядина,230,Закуски,Мясные,,True
7698943b-ff15-489d-b538-208b73cc19c3,Индейка,230,Закуски,Мясные,,True
f7a21753-ddc1-4b98-bac0-420e2f7a7fb2,Колбаски с беконом,230,Закуски,Мясные,,True
b13990fb-333d-4334-911c-d86a959cf49b,Колбаски чили,230,Закуски,Мясные,,True
5d58d243-7281-4929-b171-c6f0a64baa43,Курица,230,Закуски,Мясные,,True
edaf597f-e324-48ee-90d2-034b6f56a94d,Оленина,230,Закуски,Мясные,,True
d8a27a92-78ef-4113-867a-1569065d99fd,Арахис Бекон,200,Закуски,Орехи,,True
ca2e923f-cc40-49ed-8fbf-2b4a8b0c42ce,Арахис Сыр,200,Закуски,Орехи,,True
bbd3a91d-c957-4f0b-9e0f-4dc980bdb67c,Арахис васаби,200,Закуски,Орехи,,True
597fa0c9-4605-4efb-9618-0033bc99ae9e,Фисташки,200,Закуски,Орехи,,True
bc847a2f-af96-4f05-abde-34dd2d03d3b9,Полукольца кальмара,250,Закуски,Рыбные,,True
b9ad08e0-44d3-48a7-9bfa-eb6d4b4488fd,Икра воблы,250,Закуски,Рыбные,,True
911995b9-aa04-4a01-91f2-967f87980982,Соломка горбуши,250,Закуски,Рыбные,,True
a9c0fb94-45be-43c9-ac48-ac12c78ac90d,Соломка кеты,250,Закуски,Рыбные,,True
506e951e-d7e7-44fc-8baa-91a9bca476f0,Сыр охотничий,210,Закуски,Сырные,,True
f80d636a-8717-4b99-9456-46c318bc2c6c,Курпфальц Хель,720,Пиво разливное,Светлое фильтр,1л,True
f80d636a-8717-4b99-9456-46c318bc2c6c,Курпфальц Хель,350,Пиво разливное,Светлое фильтр,0.33л,True
f80d636a-8717-4b99-9456-46c318bc2c6c,Курпфальц Хель,500,Пиво разливное,Светлое фильтр,0.5л,True
2345c6e4-ec2e-4f07-88b2-6c8aa2b58084,Курпфальц Бровайс,500,Пиво разливное,Светлое НЕфильтр,0.5л,True
2345c6e4-ec2e-4f07-88b2-6c8aa2b58084,Курпфальц Бровайс,720,Пиво разливное,Светлое НЕфильтр,1л,True
2345c6e4-ec2e-4f07-88b2-6c8aa2b58084,Курпфальц Бровайс,350,Пиво разливное,Светлое НЕфильтр,0.33л,True
8ed633e1-5877-4e9e-a1a7-f1c4ec740ac2,Стинбрюгге браун,495,Пиво разливное,Эль темный,0.5л,True
8ed633e1-5877-4e9e-a1a7-f1c4ec740ac2,Стинбрюгге браун,660,Пиво разливное,Эль темный,1л,True
8ed633e1-5877-4e9e-a1a7-f1c4ec740ac2,Стинбрюгге браун,345,Пиво разливное,Эль темный,0.33л,True
2b25041b-9e6e-4a7f-8bec-67980a825670,Стинбрюгге блонд,345,Пиво разливное,Эль светлый,0.33л,True
2b25041b-9e6e-4a7f-8bec-67980a825670,Стинбрюгге блонд,495,Пиво разливное,Эль светлый,0.5л,True
2b25041b-9e6e-4a7f-8bec-67980a825670,Стинбрюгге блонд,660,Пиво разливное,Эль светлый,1л,True
62d339c9-a533-4787-9dd3-f35a488192c6,Самарское Фон Вакано б/а,250,Б/а пиво в стекле,,,True
0f899860-dff6-4a75-adbd-e48b405f687a,Барб Руби,650,Пиво разливное,Эль красный,0.5л,True
0f899860-dff6-4a75-adbd-e48b405f687a,Барб Руби,390,Пиво разливное,Эль красный,0.33л,True
0f899860-dff6-4a75-adbd-e48b405f687a,Барб Руби,990,Пиво разливное,Эль красный,1л,True
bb636812-3508-4e6a-8de0-4221a7809ac8,"Ла Трапп Трипель / La Trappe Tripel (0,33 л.)",360,Пиво бутылочное,Бельгия,,True
8f72ac49-832d-4116-a91d-be8aa0bc42b5,"Штраффе Хендрик Трипель / Straffe Hendrik Brugs Tripel (0,33)",445,Пиво бутылочное,Бельгия,,True
bd042e5d-2e73-4f3c-8105-cdcc5b2a31af,"Зотлер хефевайцен / Zotler hefeweizen 0,5",340,Пиво бутылочное,Германия,,True
3a254115-99f1-4634-afa3-0a011d2a05c9,"Зотлер Хефевайцен Алкохолфрай Б/а / Zotler hefeweizen Alcoholfray 0,5",350,Б/а пиво в стекле,,,True
